CO_CURSO,y_true,y_pred,y_proba
122050,1,1,0.6647765441921977
100086,0,1,0.7931554539954979
1161427,0,0,0.0011489059601134059
101645,0,1,0.6461357043893258
18764,1,1,0.9742541258059676
1349105,0,0,0.25765363759614873
98746,0,0,0.4148076481871594
19249,0,0,0.3500062525719857
10796,0,0,0.10277216996961851
1314142,1,0,0.39425435663950564
1304640,0,0,0.24692569091852973
111916,0,0,0.33606384977988984
109262,0,0,0.001959337711364288
87705,1,1,0.9821005017255011
44289,1,1,0.5953643254221801
67799,1,1,0.6890713363238056
1523347,0,0,0.17122108329446026
51843,1,1,0.9093495989224439
1111448,0,0,0.013689612003784877
1321643,0,1,0.5786634999524431
66256,0,0,0.16458393861919213
1257593,1,1,0.8392588669220539
1304528,0,0,0.15264250067578836
12006,0,0,0.05307143270308027
23960,1,1,0.9084530945733084
3936,1,1,0.6158477708133988
1281012,0,0,0.16896260625491918
1292917,1,1,0.9935985774985959
1395901,1,1,0.518600007213283
91049,1,1,0.850204643739269
1332630,0,0,0.07580521357812801
82840,1,1,0.9953415471461299
1155839,1,1,0.9592519848949986
1388634,1,1,0.7840189847356165
121427,0,0,0.010026353118619864
1258677,1,1,0.8915779249190864
1205861,0,0,0.004994475116265017
1322403,0,0,0.07043425238190618
1204027,0,0,0.005059294409244592
1399478,1,1,0.9947771516877281
8687,0,0,0.01326857342991367
1305305,0,0,0.0034826290583194175
1390437,1,0,0.28251518054890623
689,1,1,0.9475458160561546
13996,1,1,0.9997054351271494
3202,1,1,0.9998213515833196
1446764,1,1,0.977985759523673
1364370,0,0,0.009538098487971181
109337,0,0,0.2480983600979253
59612,1,1,0.8864125952134324
1192389,0,0,0.3302693651855499
59723,1,1,0.8147149176120939
1300343,0,0,0.0005410405590235357
106024,1,1,0.8863724332294545
1448,1,1,0.9370809057206558
1183370,0,0,0.0037914679238509985
1205300,1,1,0.9304255543333524
20784,1,1,0.9939284951736611
113419,0,0,0.0021077043816073
1191573,0,0,0.29143671823416156
1284570,0,0,0.0013623622752072862
1158593,1,0,0.21576816149069722
96204,1,1,0.9998022885337264
108288,1,1,0.7383843384533185
20032,0,0,0.018401515549471295
1102417,0,1,0.5553417660722005
1718,0,0,0.022290890969647786
104838,0,0,0.1807055811793907
1140358,0,0,0.005818985148257777
1324793,1,1,0.8555996011634326
1102702,0,0,0.39998619155853654
2297,1,1,0.8262991596136341
1313222,0,0,0.018547780155468662
1204836,1,1,0.9520795606673629
1323593,0,0,0.012305711331307421
1499056,1,0,0.4791951484875476
1491463,0,0,0.07433630400875293
5000930,1,1,0.9974041994368958
46877,1,1,0.7316795198086808
118364,0,0,0.11638897374196705
1185041,0,0,0.03445884784947628
1330526,0,0,0.1372113114671676
1349250,1,1,0.6822553050313659
75109,0,0,0.1695475826122889
1168617,0,0,0.34337771447795606
1187536,0,0,0.019310649670853077
14567,1,1,0.9997429550222111
1442949,0,0,0.0016918708399449019
99517,1,1,0.7560929155151431
1261756,1,1,0.8640656237171913
3161,1,1,0.9941187169171161
1450,1,1,0.8014123619030938
9044,0,1,0.6346972111901739
1377591,1,1,0.6105706629652292
1387035,1,1,0.7213473099554132
1364155,0,1,0.8146531744686021
38028,0,0,0.335556200909497
1408509,1,1,0.985499100587506
107686,1,1,0.920973713592264
1399618,1,1,0.9803458915806413
19454,1,1,0.9885057558123844
1178812,1,1,0.7195494760348192
114034,1,1,0.815568206308389
5000319,1,0,0.3424513792932337
1451864,1,1,0.7472346810311755
1331009,0,0,0.13570749332552962
1111636,1,1,0.9656881067077897
5000528,1,1,0.814484958283371
1259245,0,0,0.012526149835020857
1260287,1,0,0.48721090385551835
82224,1,1,0.9922401466026538
1304095,1,1,0.5888600126887934
51701,1,1,0.7262250692330842
1101239,0,0,0.007975628575669172
1276401,1,1,0.9721954923512027
119996,1,1,0.904602590553843
1130130,0,0,0.12880026107114895
1258816,1,1,0.9310732973633702
1404375,0,0,0.21514930733918494
12583,1,1,0.9981436037825476
1292698,1,1,0.9997949867021396
1205358,1,1,0.9902860935730161
55840,1,1,0.684070800535109
59588,0,0,0.07952404948843829
1186268,0,0,0.11337582750185828
1299951,0,0,0.0035192485022955853
1117508,0,0,0.0037569179867366375
1149894,0,1,0.5714994917678097
116572,1,1,0.9999233959254401
1204255,0,0,0.06421368669354466
20086,0,0,0.003785551918337516
1109489,1,1,0.8240330091422292
69366,0,0,0.25483099692068983
1322542,0,0,0.024557618225677008
1298917,1,1,0.6629320911454756
19749,0,0,0.08470866557844277
1188438,0,0,0.08298236115214865
1080171,1,1,0.8160563588757519
1418880,0,0,0.023847988799090218
1205519,1,1,0.8880700117388378
1300376,0,0,0.44420660249672295
18166,1,1,0.974103721588565
19540,1,1,0.6878572579442771
1300363,1,1,0.9869138685926571
1440384,1,0,0.34818779270248545
1126131,1,1,0.7911775552968912
1128389,0,0,0.042069562323024404
964,0,0,0.06418926910686973
5000426,1,0,0.3984635061536648
102822,0,0,0.367373070897786
1171610,0,0,0.02051450210868539
1389367,0,0,0.4288342474108799
1185076,1,1,0.9993952667782209
46278,0,0,0.28532204612459644
1385538,1,1,0.9930356214262924
1185559,0,0,0.1409798766125337
1483487,0,0,0.25355003066781956
76381,1,1,0.7781253596394698
1180566,0,0,0.02580392748780752
1487699,0,0,0.004771303070840326
3220,1,1,0.9805876494975702
1114625,0,1,0.9637775930179432
84975,1,0,0.3201070397626397
1516239,1,1,0.8993909275674112
1106042,0,1,0.8631473290392394
63313,1,0,0.41096854683975903
21494,0,0,0.10788832489919742
53274,1,1,0.990161218840712
484,1,1,0.9986328636681464
1126266,1,1,0.5900493899765595
1283932,0,0,0.006846275237697806
104272,0,0,0.0008556992559782262
94102,1,1,0.9999503314318416
62233,0,1,0.8692276210842002
3173,1,1,0.995952189340227
1390309,1,1,0.9966624481706959
20300,1,1,0.9482410960377233
1330411,0,0,0.10214232239524645
1453953,0,0,0.0024625522171877598
1257748,1,1,0.5909033705967752
1458703,0,0,0.020531555145875877
1179871,0,0,0.005383804592354785
82847,0,0,0.009861610271234283
1257830,1,1,0.8733379854031134
1109042,0,0,0.08367233049622502
99413,1,1,0.9581574168218568
5000308,0,1,0.5356189261992614
1259898,1,1,0.6518868646323838
112344,0,0,0.0004869358192976079
1399132,0,0,0.0012483540406911509
18089,0,0,0.19737227778571087
111178,0,0,0.0024121981365889896
1166820,1,1,0.7082486145914337
104306,0,1,0.6584234137942918
1192357,1,1,0.9737353117408296
1517953,1,1,0.880198697976602
51622,0,0,0.024021610336385682
20871,1,1,0.9875777738552608
